symbol,timestamp,source,data_type,bid,ask,price,volume,spread_raw,spread_table,volatility,market_sentiment,trading_activity
SHEL,1736081410598,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.34,5021535.0,-1.0,-1.0,0.402,-0.313,60.21
SHEL,1736081410738,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.52,5138018.0,-1.0,-1.0,0.397,-0.293,63.04
COP,1736081412351,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.72,3197362.0,-1.0,-1.0,1.487,0.197,30.91
XOM,1736081420723,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.51,14073097.0,-1.0,-1.0,0.4,0.008,57.89
BP,1736081421811,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.52,6407996.0,-1.0,-1.0,0.682,0.345,42.82
BP,1736081423325,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.51,6101158.0,-1.0,-1.0,0.68,0.294,38.09
XOM,1736081424789,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.31,14676147.0,-1.0,-1.0,0.407,0.084,61.83
SHEL,1736081431012,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.23,5169852.0,-1.0,-1.0,0.385,-0.509,59.65
BP,1736081432399,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,30.52,6214507.0,-1.0,-1.0,0.68,0.333,36.74
XOM,1736081434904,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.46,15388515.0,-1.0,-1.0,0.418,-0.021,56.66
XOM,1736081435773,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.33,15463377.0,-1.0,-1.0,0.424,-0.01,56.56
COP,1736081437392,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.71,3639211.0,-1.0,-1.0,1.49,0.084,24.76
SHEL,1736081438964,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,64.51,5402858.0,-1.0,-1.0,0.379,-0.451,57.74
COP,1736081439845,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,100.8,3572819.0,-1.0,-1.0,1.505,0.059,20.07
XOM,1736081455567,YLIFE_FEED,MARKET_DATA,-1.0,-1.0,108.74,15913683.0,-1.0,-1.0,0.412,0.029,58.88
